Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0211 | Sem Loss: -0.0001 | Con Loss: 1.0801 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0176 | Sem Loss: -0.0005 | Con Loss: 1.2344 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0193 | Sem Loss: -0.0013 | Con Loss: 1.4219 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0204 | Sem Loss: -0.0013 | Con Loss: 1.5020 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0145 | Sem Loss: -0.0011 | Con Loss: 1.2529 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0150 | Sem Loss: -0.0007 | Con Loss: 1.5186 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0151 | Sem Loss: -0.0025 | Con Loss: 1.2959 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0147 | Sem Loss: -0.0027 | Con Loss: 1.2119 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0136 | Sem Loss: -0.0021 | Con Loss: 1.1387 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0135 | Sem Loss: -0.0026 | Con Loss: 2.0957 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.1665
Step 110 | Total Loss: 0.0161 | Sem Loss: -0.0038 | Con Loss: 1.9590 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0121 | Sem Loss: -0.0038 | Con Loss: 1.4629 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0125 | Sem Loss: -0.0023 | Con Loss: 1.4395 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0113 | Sem Loss: -0.0031 | Con Loss: 1.4990 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0086 | Sem Loss: -0.0026 | Con Loss: 1.2568 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0096 | Sem Loss: -0.0040 | Con Loss: 1.6094 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0086 | Sem Loss: -0.0034 | Con Loss: 1.2305 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0076 | Sem Loss: -0.0052 | Con Loss: 1.5957 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0078 | Sem Loss: -0.0039 | Con Loss: 1.4365 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0074 | Sem Loss: -0.0048 | Con Loss: 1.5947 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.3152
Step 210 | Total Loss: 0.0051 | Sem Loss: -0.0062 | Con Loss: 1.8682 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0051 | Sem Loss: -0.0054 | Con Loss: 1.2070 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0047 | Sem Loss: -0.0062 | Con Loss: 1.4727 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0043 | Sem Loss: -0.0063 | Con Loss: 1.6924 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0035 | Sem Loss: -0.0063 | Con Loss: 2.2812 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0024 | Sem Loss: -0.0073 | Con Loss: 1.9746 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0017 | Sem Loss: -0.0074 | Con Loss: 1.7812 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0015 | Sem Loss: -0.0078 | Con Loss: 1.8682 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0012 | Sem Loss: -0.0100 | Con Loss: 2.0254 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0011 | Sem Loss: -0.0109 | Con Loss: 2.0977 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 0.7070
Step 310 | Total Loss: -0.0014 | Sem Loss: -0.0122 | Con Loss: 2.3809 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0021 | Sem Loss: -0.0127 | Con Loss: 2.5234 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0032 | Sem Loss: -0.0161 | Con Loss: 3.3574 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0051 | Sem Loss: -0.0200 | Con Loss: 3.6797 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0052 | Sem Loss: -0.0150 | Con Loss: 2.9219 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0072 | Sem Loss: -0.0199 | Con Loss: 4.0352 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0088 | Sem Loss: -0.0287 | Con Loss: 5.7539 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0138 | Sem Loss: -0.0322 | Con Loss: 6.0117 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0167 | Sem Loss: -0.0381 | Con Loss: 7.1953 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0210 | Sem Loss: -0.0463 | Con Loss: 8.1328 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 3.0078
Step 410 | Total Loss: -0.0244 | Sem Loss: -0.0491 | Con Loss: 8.5703 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0322 | Sem Loss: -0.0644 | Con Loss: 11.3984 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0410 | Sem Loss: -0.0823 | Con Loss: 13.9609 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0388 | Sem Loss: -0.0706 | Con Loss: 11.9453 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0520 | Sem Loss: -0.1047 | Con Loss: 17.8594 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0579 | Sem Loss: -0.1230 | Con Loss: 20.7188 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0717 | Sem Loss: -0.1221 | Con Loss: 21.0625 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.0779 | Sem Loss: -0.1482 | Con Loss: 24.1719 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.0897 | Sem Loss: -0.1573 | Con Loss: 26.5156 | Sem Penalty: 0.0000 | Lam: 0.0028
